step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,CASH_IN,6243.53,C1000000000,110272.54,71836.25,C2000000000,245464.29,142897.32,0,0
436,TRANSFER,3222.77,C1000000001,27652.6,94168.66,C2000000001,92652.2,250439.06,0,0
271,DEBIT,71071.68,C1000000002,181700.84,150951.42,C2000000002,5492.73,238068.58,0,0
107,CASH_IN,83024.93,C1000000003,118667.79,59502.7,C2000000003,299414.59,41639.05,0,0
72,TRANSFER,63513.7,C1000000004,91536.85,40326.28,C2000000004,205003.2,164758.63,0,0
701,TRANSFER,90503.61,C1000000005,187438.99,25490.02,C2000000005,127718.26,290807.23,0,0
21,CASH_IN,69800.62,C1000000006,19460.37,105603.46,C2000000006,86536.72,220638.55,0,0
615,TRANSFER,37101.76,C1000000007,157918.59,1099.66,C2000000007,1327.33,291893.49,0,0
122,PAYMENT,18134.02,C1000000008,72933.1,141904.14,C2000000008,46187.82,232799.24,0,0
467,PAYMENT,92465.5,C1000000009,139077.95,92277.9,C2000000009,1761.4,157398.43,0,0
215,CASH_IN,10368.68,C1000000010,186145.09,106364.57,C2000000010,179275.33,181470.8,0,0
331,DEBIT,54303.41,C1000000011,103542.62,52640.93,C2000000011,199002.98,212824.01,0,0
459,PAYMENT,31407.65,C1000000012,4527.76,35650.61,C2000000012,230038.84,218648.01,0,0
88,PAYMENT,27148.79,C1000000013,5769.65,139997.93,C2000000013,56099.81,224267.64,0,0
373,CASH_IN,64587.03,C1000000014,66112.16,42054.71,C2000000014,28791.26,279077.8,0,0
100,CASH_OUT,23131.38,C1000000015,156331.64,156017.19,C2000000015,195137.73,92749.48,0,0
664,TRANSFER,91637.35,C1000000016,57652.27,40734.5,C2000000016,149968.24,248841.76,0,0
131,PAYMENT,40610.33,C1000000017,66893.72,122536.62,C2000000017,262705.77,170904.51,0,0
662,CASH_OUT,67740.76,C1000000018,156892.14,128774.41,C2000000018,159979.81,265598.9,0,0
309,DEBIT,72778.29,C1000000019,23237.83,101129.12,C2000000019,133446.37,189328.12,0,0
344,CASH_OUT,68297.34,C1000000020,169362.59,199358.15,C2000000020,146408.34,280544.62,0,0
492,CASH_IN,90340.99,C1000000021,53158.5,75168.6,C2000000021,234696.52,127210.06,0,0
414,DEBIT,23120.78,C1000000022,10244.61,176664.23,C2000000022,5491.56,29787.84,0,0
386,DEBIT,8614.59,C1000000023,23468.54,33845.64,C2000000023,275463.43,193459.0,0,0
192,CASH_OUT,5556.02,C1000000024,190510.98,67442.17,C2000000024,214256.71,232376.82,0,0
277,CASH_IN,87785.64,C1000000025,90264.79,29073.42,C2000000025,265586.92,207430.26,0,0
161,PAYMENT,97328.97,C1000000026,51287.62,120724.9,C2000000026,287879.7,217494.44,0,0
